ema_distance_threshold,volume_ratio_threshold,rsi_threshold,trades,winrate,avg_R,profit_factor,max_drawdown,suspicious_abs_avg_r,suspicious_pf,suspicious_low_trades,valid,scan_id
0.0003,1.4,45,7218,41.96453311166528,-0.09279929713752437,0.9232408030911631,717.6069860148282,False,False,False,True,ea708839
0.0003,1.4,50,6844,41.64231443600234,-0.10764959012514926,0.9111701916288597,797.0690028193544,False,False,False,True,ea708839
0.0003,1.4,55,6136,41.28096479791395,-0.12289649996798062,0.8989627554625226,792.6968282193944,False,False,False,True,ea708839
0.0003,1.4,60,5043,40.80904223676383,-0.15358981108117822,0.8745541514898854,795.6956228978685,False,False,False,True,ea708839
0.0004,0.8,45,7755,42.398452611218566,-0.056408826453480984,0.9506674505988525,477.64809450893097,False,False,False,True,ea708839
0.0004,0.8,50,7388,42.09528965890633,-0.07354395723702191,0.9361580379054066,582.1634036845619,False,False,False,True,ea708839
0.0004,0.8,55,6614,41.623828243120656,-0.07932830129501803,0.9312178157897448,549.9742356770764,False,False,False,True,ea708839
0.0004,0.8,60,5509,41.42312579415502,-0.09357808238307391,0.9186916380336871,513.4460050573612,False,False,False,True,ea708839
0.0004,1.0,45,7755,42.398452611218566,-0.056408826453480984,0.9506674505988525,477.64809450893097,False,False,False,True,ea708839
0.0004,1.0,50,7388,42.09528965890633,-0.07354395723702191,0.9361580379054066,582.1634036845619,False,False,False,True,ea708839
0.0004,1.0,55,6614,41.623828243120656,-0.07932830129501803,0.9312178157897448,549.9742356770764,False,False,False,True,ea708839
0.0004,1.0,60,5509,41.42312579415502,-0.09357808238307391,0.9186916380336871,513.4460050573612,False,False,False,True,ea708839
0.0004,1.2,45,7755,42.398452611218566,-0.056408826453480984,0.9506674505988525,477.64809450893097,False,False,False,True,ea708839
0.0004,1.2,50,7388,42.09528965890633,-0.07354395723702191,0.9361580379054066,582.1634036845619,False,False,False,True,ea708839
0.0004,1.2,55,6614,41.623828243120656,-0.07932830129501803,0.9312178157897448,549.9742356770764,False,False,False,True,ea708839
0.0004,1.2,60,5509,41.42312579415502,-0.09357808238307391,0.9186916380336871,513.4460050573612,False,False,False,True,ea708839
0.0004,1.4,45,6226,41.61580469000964,-0.08774812389290705,0.9261436795571506,588.669286843697,False,False,False,True,ea708839
0.0004,1.4,50,5951,41.23676692992774,-0.1099777893933811,0.9080719736355566,698.9090728928225,False,False,False,True,ea708839
0.0004,1.4,55,5389,40.99090740397105,-0.10980386530479494,0.9079534795468341,623.5990317780474,False,False,False,True,ea708839
0.0004,1.4,60,4512,40.580673758865245,-0.13818027535317545,0.8845107817041993,643.8145412991165,False,False,False,True,ea708839
0.0005,0.8,45,6639,42.220213887633676,-0.055002359759078884,0.9507365638982391,473.67476687361057,False,False,False,True,ea708839
0.0005,0.8,50,6358,42.01006605850897,-0.0752677529628415,0.9330916824527167,497.39796243269063,False,False,False,True,ea708839
0.0005,0.8,55,5773,41.45158496448987,-0.09286592326062601,0.9179368720238046,524.3604823477451,False,False,False,True,ea708839
0.0005,0.8,60,4892,41.47587898609976,-0.09168415384588058,0.9183346120985199,455.6625812501418,False,False,False,True,ea708839
0.0005,1.0,45,6639,42.220213887633676,-0.055002359759078884,0.9507365638982391,473.67476687361057,False,False,False,True,ea708839
0.0005,1.0,50,6358,42.01006605850897,-0.0752677529628415,0.9330916824527167,497.39796243269063,False,False,False,True,ea708839
0.0005,1.0,55,5773,41.45158496448987,-0.09286592326062601,0.9179368720238046,524.3604823477451,False,False,False,True,ea708839
0.0005,1.0,60,4892,41.47587898609976,-0.09168415384588058,0.9183346120985199,455.6625812501418,False,False,False,True,ea708839
0.0005,1.2,45,6639,42.220213887633676,-0.055002359759078884,0.9507365638982391,473.67476687361057,False,False,False,True,ea708839
0.0005,1.2,50,6358,42.01006605850897,-0.0752677529628415,0.9330916824527167,497.39796243269063,False,False,False,True,ea708839
0.0005,1.2,55,5773,41.45158496448987,-0.09286592326062601,0.9179368720238046,524.3604823477451,False,False,False,True,ea708839
0.0005,1.2,60,4892,41.47587898609976,-0.09168415384588058,0.9183346120985199,455.6625812501418,False,False,False,True,ea708839
0.0005,1.4,45,5372,41.437081161578554,-0.07470124206072341,0.9354180213723519,467.4097069200553,False,False,False,True,ea708839
0.0005,1.4,50,5157,41.16734535582703,-0.09880030306922712,0.9152013595282614,539.6505142486318,False,False,False,True,ea708839
0.0005,1.4,55,4733,40.86203253750264,-0.1066772931989,0.9082694569649656,518.9456458825389,False,False,False,True,ea708839
0.0005,1.4,60,4036,40.68384539147671,-0.1253707643626561,0.8921048808117845,515.9919846193458,False,False,False,True,ea708839
