ema_distance_threshold,volume_ratio_threshold,rsi_threshold,trades,winrate,avg_R,profit_factor,max_drawdown,scan_id
0.0008,1.2,60,1915,40.52219321148825,-0.1087641673665578,0.905124425930443,289.8887822729274,3acf6689
0.0008,1.4,40,1953,40.65540194572453,-0.11289529725919846,0.9039361569328652,351.8604758870153,3acf6689
0.0008,1.4,45,1941,40.64914992272025,-0.1150327104497667,0.9021871754858768,349.2478552794294,3acf6689
0.0008,1.4,50,1897,40.326831839746966,-0.13688258777746365,0.8849351253977686,352.3313865332199,3acf6689
0.0008,1.4,55,1793,40.546569994422754,-0.11625226212851715,0.9017553824683184,327.97598944901927,3acf6689
0.0008,1.4,60,1616,40.34653465346535,-0.12871980678760336,0.8917762930163562,302.7924316946192,3acf6689
0.0008,1.6,40,1664,40.56490384615385,-0.15370869983760505,0.871463187956803,350.70865154223526,3acf6689
0.0008,1.6,45,1654,40.5683192261185,-0.15562975848993588,0.86990173934139,349.2975024527273,3acf6689
0.0008,1.6,50,1616,40.222772277227726,-0.18036210941693853,0.8511260806360835,355.3917496201624,3acf6689
0.0008,1.6,55,1532,40.33942558746737,-0.16223021996314352,0.8659173692483756,332.3853324875636,3acf6689
0.0008,1.6,60,1384,40.31791907514451,-0.17217185645762187,0.8580551186683244,309.594137183191,3acf6689
0.001,0.8,40,1733,41.83496826312753,-0.10483107301601596,0.9062079818131896,292.5417802812181,3acf6689
0.001,0.8,45,1721,41.83614177803602,-0.10756514168615959,0.9037407228124068,281.44000653893255,3acf6689
0.001,0.8,50,1693,41.760189013585354,-0.12222939420189652,0.8912927023746731,284.6274369511087,3acf6689
0.001,0.8,55,1607,41.7548226509023,-0.12139255567281756,0.8923300728393636,276.5861829319343,3acf6689
0.001,0.8,60,1458,41.56378600823045,-0.13120196085556496,0.8844865537593355,262.7252814813919,3acf6689
0.001,1.0,40,1733,41.83496826312753,-0.10483107301601596,0.9062079818131896,292.5417802812181,3acf6689
0.001,1.0,45,1721,41.83614177803602,-0.10756514168615959,0.9037407228124068,281.44000653893255,3acf6689
0.001,1.0,50,1693,41.760189013585354,-0.12222939420189652,0.8912927023746731,284.6274369511087,3acf6689
0.001,1.0,55,1607,41.7548226509023,-0.12139255567281756,0.8923300728393636,276.5861829319343,3acf6689
0.001,1.0,60,1458,41.56378600823045,-0.13120196085556496,0.8844865537593355,262.7252814813919,3acf6689
0.001,1.2,40,1733,41.83496826312753,-0.10483107301601596,0.9062079818131896,292.5417802812181,3acf6689
0.001,1.2,45,1721,41.83614177803602,-0.10756514168615959,0.9037407228124068,281.44000653893255,3acf6689
0.001,1.2,50,1693,41.760189013585354,-0.12222939420189652,0.8912927023746731,284.6274369511087,3acf6689
0.001,1.2,55,1607,41.7548226509023,-0.12139255567281756,0.8923300728393636,276.5861829319343,3acf6689
0.001,1.2,60,1458,41.56378600823045,-0.13120196085556496,0.8844865537593355,262.7252814813919,3acf6689
0.001,1.4,40,1427,41.41555711282411,-0.1321021192460352,0.8868567863234658,293.92000038247835,3acf6689
0.001,1.4,45,1421,41.30893736805067,-0.1406704964349029,0.8798249958528866,293.88347679007046,3acf6689
0.001,1.4,50,1403,41.054882394868145,-0.16420595267024207,0.8607524224652424,295.93920129312954,3acf6689
0.001,1.4,55,1336,41.09281437125748,-0.16250706032853388,0.8620634105656301,296.0742136798928,3acf6689
0.001,1.4,60,1220,40.9016393442623,-0.1727415442125555,0.8542078616874543,280.75286344925377,3acf6689
0.001,1.6,40,1227,41.32029339853301,-0.1612414835711126,0.8637810547246183,263.1920943469945,3acf6689
0.001,1.6,45,1222,41.243862520458265,-0.16928907419834596,0.8572930954013828,263.1555707545866,3acf6689
0.001,1.6,50,1206,40.96185737976783,-0.1956609201446058,0.8365096244483504,277.7012309805762,3acf6689
0.001,1.6,55,1148,41.027874564459935,-0.18902677319309158,0.8419789447420718,267.4072117545585,3acf6689
0.001,1.6,60,1053,40.9306742640076,-0.18878765916921406,0.8427315425232649,246.98996274826982,3acf6689
