momentum_ratio_threshold,pullback_depth_min,pullback_depth_max,upper_wick_ratio_max,lower_wick_ratio_max,breakout_confirmation_required,trades,winrate,avg_R,profit_factor,max_drawdown
0.95,,,0.3,0.7,True,7,57.14285714285714,2.48824045560986,2.5918257504965716,7.609249379315677
0.95,,,0.4,,False,11,54.54545454545454,1.548393169449561,2.342197412591759,7.609249379315677
0.95,,,0.4,,True,7,57.14285714285714,2.48824045560986,2.5918257504965716,7.609249379315677
0.95,,,0.4,0.5,False,11,54.54545454545454,1.548393169449561,2.342197412591759,7.609249379315677
0.95,,,0.4,0.5,True,7,57.14285714285714,2.48824045560986,2.5918257504965716,7.609249379315677
0.95,,,0.4,0.6,False,11,54.54545454545454,1.548393169449561,2.342197412591759,7.609249379315677
0.95,,,0.4,0.6,True,7,57.14285714285714,2.48824045560986,2.5918257504965716,7.609249379315677
0.95,,,0.4,0.7,False,11,54.54545454545454,1.548393169449561,2.342197412591759,7.609249379315677
0.95,,,0.4,0.7,True,7,57.14285714285714,2.48824045560986,2.5918257504965716,7.609249379315677
0.95,-3.0,,,,False,10,50.0,0.5803915082302592,1.4573656191151605,9.001581532831112
0.95,-3.0,,,,True,6,50.0,1.0315455679377403,1.5656461126353114,7.953326982333021
0.95,-3.0,,,0.5,False,10,50.0,0.5803915082302592,1.4573656191151605,9.001581532831112
0.95,-3.0,,,0.5,True,6,50.0,1.0315455679377403,1.5656461126353114,7.953326982333021
0.95,-3.0,,,0.6,False,10,50.0,0.5803915082302592,1.4573656191151605,9.001581532831112
0.95,-3.0,,,0.6,True,6,50.0,1.0315455679377403,1.5656461126353114,7.953326982333021
0.95,-3.0,,,0.7,False,10,50.0,0.5803915082302592,1.4573656191151605,9.001581532831112
0.95,-3.0,,,0.7,True,6,50.0,1.0315455679377403,1.5656461126353114,7.953326982333021
0.95,-3.0,,0.2,,False,10,50.0,0.5803915082302592,1.4573656191151605,9.001581532831112
0.95,-3.0,,0.2,,True,6,50.0,1.0315455679377403,1.5656461126353114,7.953326982333021
0.95,-3.0,,0.2,0.5,False,10,50.0,0.5803915082302592,1.4573656191151605,9.001581532831112
0.95,-3.0,,0.2,0.5,True,6,50.0,1.0315455679377403,1.5656461126353114,7.953326982333021
0.95,-3.0,,0.2,0.6,False,10,50.0,0.5803915082302592,1.4573656191151605,9.001581532831112
0.95,-3.0,,0.2,0.6,True,6,50.0,1.0315455679377403,1.5656461126353114,7.953326982333021
0.95,-3.0,,0.2,0.7,False,10,50.0,0.5803915082302592,1.4573656191151605,9.001581532831112
0.95,-3.0,,0.2,0.7,True,6,50.0,1.0315455679377403,1.5656461126353114,7.953326982333021
0.95,-3.0,,0.3,,False,10,50.0,0.5803915082302592,1.4573656191151605,9.001581532831112
0.95,-3.0,,0.3,,True,6,50.0,1.0315455679377403,1.5656461126353114,7.953326982333021
0.95,-3.0,,0.3,0.5,False,10,50.0,0.5803915082302592,1.4573656191151605,9.001581532831112
0.95,-3.0,,0.3,0.5,True,6,50.0,1.0315455679377403,1.5656461126353114,7.953326982333021
0.95,-3.0,,0.3,0.6,False,10,50.0,0.5803915082302592,1.4573656191151605,9.001581532831112
0.95,-3.0,,0.3,0.6,True,6,50.0,1.0315455679377403,1.5656461126353114,7.953326982333021
0.95,-3.0,,0.3,0.7,False,10,50.0,0.5803915082302592,1.4573656191151605,9.001581532831112
0.95,-3.0,,0.3,0.7,True,6,50.0,1.0315455679377403,1.5656461126353114,7.953326982333021
0.95,-3.0,,0.4,,False,10,50.0,0.5803915082302592,1.4573656191151605,9.001581532831112
0.95,-3.0,,0.4,,True,6,50.0,1.0315455679377403,1.5656461126353114,7.953326982333021
