ema_distance_threshold,volume_ratio_threshold,rsi_threshold,trades,winrate,avg_R,profit_factor,max_drawdown,scan_id
0.0004,1.2,60,411,45.98540145985402,0.3158838622298447,1.29430635790878,49.5101327220662,3e1edc34
0.0004,1.4,45,447,46.085011185682326,0.3310024335414295,1.2939029252728704,36.6698954729043,3e1edc34
0.0004,1.4,50,428,45.794392523364486,0.29057073438078695,1.2522899090163377,37.08702118277047,3e1edc34
0.0004,1.4,55,387,45.21963824289406,0.3027424442267205,1.2587146582082531,38.77196911585631,3e1edc34
0.0004,1.4,60,330,45.75757575757576,0.35931090318574777,1.314916225292146,51.01562992390039,3e1edc34
0.0005,0.8,45,476,44.957983193277315,0.28109377826368687,1.2612489918135463,38.335998418487385,3e1edc34
0.0005,0.8,50,454,45.15418502202643,0.2831645156534229,1.26147637066446,34.052389060131645,3e1edc34
0.0005,0.8,55,417,44.60431654676259,0.28384137581354224,1.2610884482247837,39.333571279206765,3e1edc34
0.0005,0.8,60,357,45.09803921568628,0.3273243915386023,1.3018169641471855,37.76101165668327,3e1edc34
0.0005,1.0,45,476,44.957983193277315,0.28109377826368687,1.2612489918135463,38.335998418487385,3e1edc34
0.0005,1.0,50,454,45.15418502202643,0.2831645156534229,1.26147637066446,34.052389060131645,3e1edc34
0.0005,1.0,55,417,44.60431654676259,0.28384137581354224,1.2610884482247837,39.333571279206765,3e1edc34
0.0005,1.0,60,357,45.09803921568628,0.3273243915386023,1.3018169641471855,37.76101165668327,3e1edc34
0.0005,1.2,45,476,44.957983193277315,0.28109377826368687,1.2612489918135463,38.335998418487385,3e1edc34
0.0005,1.2,50,454,45.15418502202643,0.2831645156534229,1.26147637066446,34.052389060131645,3e1edc34
0.0005,1.2,55,417,44.60431654676259,0.28384137581354224,1.2610884482247837,39.333571279206765,3e1edc34
0.0005,1.2,60,357,45.09803921568628,0.3273243915386023,1.3018169641471855,37.76101165668327,3e1edc34
0.0005,1.4,45,379,45.64643799472295,0.35958704870138797,1.3193957578949684,30.095581390235672,3e1edc34
0.0005,1.4,50,365,45.47945205479452,0.333193683747294,1.291261248181214,29.75792783450484,3e1edc34
0.0005,1.4,55,336,44.94047619047619,0.34035771492211425,1.2953257782004761,34.31875677410679,3e1edc34
0.0005,1.4,60,290,45.51724137931035,0.4080364574544092,1.360111350441118,34.31875677410679,3e1edc34
